,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-3528116000.0,4939939000.0,7802946000.0,7738056000.0
Repurchase Of Capital Stock,,0.0,-166384000.0,0.0
Capital Expenditure,-1367623000.0,-788806000.0,-557195000.0,-464764000.0
End Cash Position,3544244000.0,6408581000.0,5172847000.0,3572943000.0
Beginning Cash Position,6408581000.0,5172847000.0,3572943000.0,3210524000.0
Changes In Cash,-2864337000.0,1235734000.0,1599904000.0,362419000.0
Financing Cash Flow,7667454000.0,1315718000.0,-3146730000.0,-1981879000.0
Net Other Financing Charges,10752533000.0,3413430000.0,-200000000.0,-200000000.0
Cash Dividends Paid,-2984625000.0,-1988419000.0,-2686485000.0,-1691252000.0
Common Stock Dividend Paid,-2984625000.0,-1988419000.0,-2686485000.0,-1691252000.0
Net Common Stock Issuance,,0.0,-166384000.0,0.0
Common Stock Payments,,0.0,-166384000.0,0.0
Investing Cash Flow,-8371298000.0,-5808729000.0,-3613507000.0,-5858522000.0
Dividends Received Cfi,36210000.0,33004000.0,30798000.0,30545000.0
Net Investment Purchase And Sale,-7147080000.0,-5008386000.0,-3155316000.0,-5445303000.0
Sale Of Investment,4240723000.0,4768040000.0,2411486000.0,3860033000.0
Purchase Of Investment,-11387803000.0,-9776426000.0,-5566802000.0,-9305336000.0
Net Business Purchase And Sale,96333000.0,-51289000.0,0.0,
Sale Of Business,183000000.0,167290000.0,0.0,
Purchase Of Business,-86667000.0,-218579000.0,0.0,
Net PPE Purchase And Sale,-1356761000.0,-782058000.0,-488989000.0,-443764000.0
Sale Of PPE,10862000.0,6748000.0,68206000.0,21000000.0
Purchase Of PPE,-1367623000.0,-788806000.0,-557195000.0,-464764000.0
Operating Cash Flow,-2160493000.0,5728745000.0,8360141000.0,8202820000.0
Taxes Refund Paid,-664476000.0,-556318000.0,-413759000.0,-311545000.0
Change In Working Capital,-10129611000.0,-1841557000.0,1679123000.0,3238987000.0
Change In Other Current Liabilities,1745048000.0,2942574000.0,-164582000.0,309377000.0
Change In Other Current Assets,361252000.0,-1118163000.0,-925143000.0,48757000.0
Other Non Cash Items,-8001000.0,-5118000.0,33353000.0,21507000.0
Stock Based Compensation,77125000.0,62141000.0,57113000.0,27187000.0
Provisionand Write Offof Assets,1258461000.0,1246946000.0,1413809000.0,1240736000.0
Depreciation And Amortization,431055000.0,353839000.0,325313000.0,279116000.0
Depreciation,431055000.0,353839000.0,325313000.0,279116000.0
Gain Loss On Investment Securities,-282608000.0,-41988000.0,-131817000.0,-292873000.0
Gain Loss On Sale Of PPE,-2808000.0,4172000.0,-7878000.0,-678000.0
Gain Loss On Sale Of Business,,0.0,-5143000.0,0.0
Net Income From Continuing Operations,7125951000.0,6502072000.0,5395524000.0,4012899000.0
