,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,72692625.0,-79086878.0,28888471.0,61762200.0,
Repayment Of Debt,-40923465.0,-120795739.0,-63873448.0,-48206097.0,
Issuance Of Debt,3923978.0,244616582.0,55750000.0,10000000.0,
Capital Expenditure,-2234475.0,-5277655.0,-40738397.0,-3510275.0,
End Cash Position,1860312.0,11959909.0,11507655.0,16977082.0,
Beginning Cash Position,11959909.0,11507655.0,16977082.0,13115855.0,
Changes In Cash,-10099597.0,452254.0,-5469427.0,3861227.0,
Financing Cash Flow,-83360232.0,79539132.0,-42816459.0,-58836140.0,
Interest Paid Cff,-46151272.0,-44072711.0,-34484511.0,-20423116.0,
Net Issuance Payments Of Debt,-36999487.0,123820843.0,-8123448.0,-38206097.0,
Net Long Term Debt Issuance,-36999487.0,123820843.0,-8123448.0,-38206097.0,
Long Term Debt Payments,-40923465.0,-120795739.0,-63873448.0,-48206097.0,
Long Term Debt Issuance,3923978.0,244616582.0,55750000.0,10000000.0,
Investing Cash Flow,-1666465.0,-5277655.0,-32279836.0,-2575108.0,
Net Investment Purchase And Sale,,0.0,7958561.0,0.0,
Sale Of Investment,,0.0,7958561.0,0.0,
Net Intangibles Purchase And Sale,-235937.0,-1662021.0,-1647276.0,,
Purchase Of Intangibles,-235937.0,-1662021.0,-1647276.0,,
Net PPE Purchase And Sale,-1430528.0,-3615634.0,-38591121.0,-2575108.0,
Sale Of PPE,568010.0,0.0,500000.0,935167.0,
Purchase Of PPE,-1998538.0,-3615634.0,-39091121.0,-3510275.0,
Operating Cash Flow,74927100.0,-73809223.0,69626868.0,65272475.0,
Taxes Refund Paid,-525000.0,-772730.0,-800000.0,-5000294.0,
Interest Paid Cfo,,,,-24989200.0,-19778093.0
Change In Working Capital,184788485.0,-104528985.0,-25525340.0,-40404513.0,
Change In Accrued Expense,,,,,6247169.0
Change In Payable,6658949.0,-19358749.0,84500369.0,5440161.0,
Change In Prepaid Assets,7610842.0,-5685800.0,6989516.0,-6680564.0,
Change In Inventory,153853107.0,-42114541.0,-58774772.0,-13362919.0,
Change In Receivables,16665587.0,-37369895.0,-58240453.0,-25801191.0,
Other Non Cash Items,58830389.0,42308609.0,38014111.0,44062674.0,
Provisionand Write Offof Assets,7283317.0,-33549875.0,1291478.0,-3400000.0,
Deferred Tax,,,,5397315.0,2957223.0
Depreciation And Amortization,28157452.0,46348478.0,45773622.0,32664169.0,
Amortization Cash Flow,930796.0,376525.0,376525.0,376525.0,
Depreciation,27226656.0,45971953.0,45397097.0,32287644.0,
Pension And Employee Benefit Expense,1660738.0,1438391.0,1051504.0,1771050.0,
Gain Loss On Investment Securities,,,550002.0,665592.0,-1350994.0
Gain Loss On Sale Of PPE,343859.0,3470.0,4599997.0,48734.0,
Net Income From Continuing Operations,-200321654.0,-22431380.0,27477112.0,36291429.0,
